Team,Region,Future use,Requieres realease?,Future containment,"In case of release, would the organism or parts spread autonomously?",Containment measures,Answer on question 16,Project goal
CPU_CHINA,Asia,"In a factory,Small enclosed device",No,NEI,No-unable,None,"For parts, their chance of spreading into the environment autonomously is very small. For our protein parts themselves, they are neither infectious nor transmissive, which are rare characteristics among proteins. And they would only be produced under specific inductive conditions such as appropriate temperature or the existence of certain substances. For our nucleic acid parts, they are produced in vitro and will not be transferred into organisms under normal circumstances. They also do not possess the ability of integrating themselves onto genomes, let alone being transcribed or translated.

For organisms, since we're not planning to apply our engineered organisms directly in the environment at the initial design stage of our project, we have not yet considered the biocontainment strategy of our organisms outside the lab.",The overall goal of our project is to assemble a new type of protein-nucleic-acid complex that possesses the ability of polyethylene degradation.
CSMU_Taiwan,Asia,"Only lab,Biosensor",No,Partially Contained,NEI,None,Our parts will not spread autonomously in the environment.,A certain type of cancer detection system.
CSU_CHINA,Asia,Consumer product,No,NEI,NEI,None,We do not have engineered organisms or parts spread autonomously in the environment.,Type 1 diabetes treatment.
CUHKSZ,Asia,"Consumer product,Human body or food",No,NEI,No-unable,None,"The growth of our bacteria requires a high concentration of ethanol, they are hard to spread if they enter the environment. Our bacteria will be held in a containing device when being used, there will be a biomedical engineering technic to combine the bacteria with the device and prevent their escape.",Alcohol degradating bacteria
DKU,Asia,Natural environment,Yes,Partially Contained,Yes-possible,None,"Our product is intended to release the algicidal peptide to the natural water body. The peptide is expected to have a selective algicidal effect to target Harmful Algal Bloom (HAB) specifically.  
Our engineered E.coli would be wrapped in the floating units made of a semi-permeable membrane and placed in the lakes with an algal bloom. Our expectation is that we can recycle these units and therefore the engineered E.coli will not be released into the natural environment. But if they are leaked accidentally, engineered E.coli may spread to the environment. ",They want to produce an algicidal peptide and use their batceria in a lake.
DUT_China,Asia,"In a factory,Small enclosed device,Natural environment",No,Fully Contained,No-contained,Killswitch,Our major plan is to produce multiple-enzyme system to depolymerize PET in factory. we will make sure that this bacterica won't come into the environment. To be on the safe side we designed a kill switch to avoid the spread of the organisms or parts.,PET degradation
ECNUAS,Asia,"Small enclosed device,Biosensor,Cell-Free",No,Partially Contained,No-no-organisms,None,NO,Cell free biosensor
ECUST_China,Asia,"Consumer product,Human body or food",No,NEI,NEI,None,Our engineered organisms or parts will not spread autonomously in the environment for it will be used in food which means the yeast will be cooked thoroughly,Saccharomyces cerevisiae to produce phycocyanin
FAFU-CHINA,Asia,"In a factory,Consumer product,Human body or food",No,Fully Contained,No-contained,Physical containment,"In the design of hardware we are going to the microorganism fermentation system wrapped in a layer of antibiotics, if the user break this production, antibacterial substances will promptly killed engineering bacteria. Meanwhile, if exposed to light for too long, E. coli will produce too much linalool and kill itself.",Light-based aroma producing system
Fudan,Asia,Consumer product,Yes,Partially Contained,No-contained,Auxotrophy,"We first chose to apply an auxotrophy strain which can only grow on our specific culture and the users are supposed to lysate the bacteria to carry out the subsequent detection procedures which will kill the bacteria instantly. We also worried about the unconsciously environmental spread of the amplified target fragment since mutations inevitably occur when these fragments are amplified. Once this mutated DNA gets into the wild-type Candida albicans, it may pose unexpected risks to the environment. We have included Potassium Permanganate in our product for users to completely destroy the bacteria as well as its nuclear acid after detection. We will also consult experts in this area and take our ethical practices a step further.",Candida albicans detection system
Fujian_United,Asia,Consumer product,No,NEI,NEI,None,No,Production of glucoamylase?
FZU-China,Asia,Human body or food,Yes,NEI,NEI,None,We use autoclave to sterilize media.,Depression reducing system
GCGS_China,Asia,Consumer product,No,NEI,NEI,None,"No, there won't be any part of our ultimate product or engineered organisms that will automatically spread into the environment. ",Aptamers testing (based on aptamers described in a paper)
GDSYZX,Asia,In a factory,No,Fully Contained,NEI,None,"If our project is fully developed and applied in the factory, our bacteria will play a role in the equipment of the factory (including sterilization and waste treatment devices), strictly abide by the operating specifications, and ensure that it will not be leaked or put into Environment.",Feathers degradation system 
Gifu,Asia,"Only lab,Biosensor",No,Fully Contained,NEI,Physical containment,"We are developing a Cas-based biosensor called DETECTR. This biosensor uses a protein cloned from an engineered organism, but the organism is not used in any way in the functioning of the sensor, including the search for the target, the association with the target, and the output of the signal. Genetically engineered organisms used to synthesize proteins are always sterilized by an autoclave in accordance with Gifu University guidelines. In addition, the engineered organisms are highly nutrient-demanding, which makes it very difficult for them to survive outside the laboratory environment in the event of an accidental leak.",herpesvirus detection and stress-level determination
GreatBay_SCIE,Asia,Human body or food,Yes,Open release ,NEI,None,No.,Breast cancer aptamer-based treatment
GreatBay_SZ,Asia,"Foundational,Only lab,Field Use",Yes,Open release ,No-unable,None,"Yes, because artificially produced spores have no reproductive function. This can maximize the avoidance of harm to the environment. And it can avoid the secondary use by unscrupulous people, because even if these people collect spore samples, they cannot reproduce the spores.",Yeast (spore form) barcoding system to mark products
GreatBay_United,Asia,"Consumer product,Natural environment,Human body or food",No,NEI,NEI,Physical containment,"In our project, engineered bacteria are used to produce protease under laboratory conditions, and not put in the environment. The final product contains protease reagents and does not contain biologically active engineering bacteria. Hence it's not going to spread autonomously in the environment.",Limulus hemagglutination reaction
Gunma,Asia,In a factory,Yes,Open release ,Yes-possible,None,"We do not have incorporated any special biocontainment strategies. However, if we inject liquid culture of the E. coli strain harboring a vector including an antibiotic resistance marker into bathwater, we will not add any antibiotics. That can make the vector automatically disappear in the E. coli cells after a while, so that the resultant cells become standard laboratory strain cells.
",Biofilm breakdown in bathtubs or hot spring facilities.
GXU-China,Asia,Human body or food,Yes,NEI,NEI,None,It will not spread autonomously in the environment.,Anti-tuberculosis secretion system.
HiZJU-China,Asia,"In a factory,Small enclosed device",No,NEI,No-contained,Killswitch,"To make sure our engineered E.coli wonÃ¢Â€Â™t spread in the environment after full degradation of EE2, we design a negative edge triggered pulse detecting circuit which responses only at the falling edge of the pulse stimulus. Herein, this part will function and produce toxic proteins leading to cell death only under the condition of both the existence and subsequently the elimination of EE2.",Degradation of steroid estrogens.
 HKBU,Asia,Other,Yes,NEI,NEI,None,No,Aptamers treatment?
HKIS,Asia,"Consumer product,Agriculture,Cell-Free,Biosensor",Yes,Partially Contained,No-contained,Killswitch,The bacteria that expresses antimicrobial peptide will not cause trouble due to its inactive form. A kill switch that involves quorum sensing will be included to prevent accidental leaks and only to be used in the laboratory in high concentration to maintain viability.,Vibro species detection kit
HKUST,Asia,"Only lab,In a factory,Other,Biosensor",No,Fully Contained,NEI,None,"Engineered bacterial chassis, if not treated with disinfectant, may grow in any favourable environment. This can easily be avoided by providing bleach or 70% alcohol. ",Bacterial biosensor for paralytic shellfish toxins.
HK_CPU-WFN-WYY,Asia,"In a factory,Consumer product",No,Fully Contained,NEI,None,"No, they are intended to be used in manufacturing facilities and they should be well contained under normal conditions.",Production of spidroin (basic unit of spider silk)
HK_GTC,Asia,In a factory,No,Fully Contained,NEI,None,No.,PETase prodcution
HK_SSC,Asia,In a factory,No,Fully Contained,Yes-possible,None,"Yes, because the cyanobacteria and E coli used in our project do not possess a kill switch and are both capable of multiplying rapidly. Therefore, they are grown contained in the lab and colonies are always bleached before disposal. Surfaces that were used when handling the organisms are also sterilized.",Production of delta-valerolactam
Hong_Kong_HKU,Asia,"Small enclosed device,Natural environment",Yes,Partially Contained,NEI,None,"May enter the environment accidentally. However, without the right medium, it is highly unlikely our engineered organisms could survive.",PETase and MHETase production
Hong_Kong_JSS,Asia,"In a factory,Consumer product,Agriculture,Small enclosed device,Human body or food,Cell-Free",No,Fully Contained,No-no-organisms,None,No. The organism is only an expression host. The final product of our project should be recombinant enzymes.,Degradation of aflatoxin B1?
Hong_Kong_UCCKE,Asia,"Consumer product,Small enclosed device",No,Fully Contained,NEI,None,"No, the strain will only grow when incubated in laboratory glucose-abundant media.","Our project aims to provide a synthetic biology tool where the user can design and produce a recombinant plasmid which will result in a ligand-binding receptor Modular Receptor Platform (MRP),"
HUST-China,Asia,"Consumer product,Small enclosed device",Yes,NEI,No-contained,Auxotrophy,"We set filter membrane in our final product device to prevent the escapement of our yeast.

Our chassis Pichia pastoris GS115 is the type of histidine requirement. If our engineered organisms escape into the environment, they can't live because of the shortage of histidine.",Protein-based hair dye system
HUST2-China,Asia,"Consumer product,Small enclosed device",Yes,NEI,No-unable,None,"Firstly, our fixation of engineered bacteria is strong enough that it cannot escape. Secondly,since our engineered bacteria are auxotrophic, they cannot survive without the growth conditions we provide.Therefore,any of our engineered organisms or parts couldn't spread autonomously in the environment.",P. acnes treatment system
HZAU-China,Asia,Human body or food,Yes,Open release ,No-contained,Killswitch,"Engineered bacteria will be excreted from the body and enter the natural environment, but we plan to solve this problem by using a killing switch. We plan to use RNA thermometer with toxin, which will control the production of toxin when the bacteria leak into the environment.",Inflammatory Bowel Disease (IBD) detection and reporter system.
iBowu-China,Asia,"In a factory,Consumer product,Human body or food",No,Fully Contained,NEI,Physical containment,No. The engineered parts will stay inside the lab under strict safety management and they serve as a manufacturing device in the lab. ,Production of glycyrrhetinic acid.
ICJFLS,Asia,"Consumer product,Natural environment",No,Fully Contained,NEI,None,No engineered organisms or part spread autonomouly in the environment if our project were fully developed.,Plant amylose prodcution 
IISc-Bangalore,Asia,"Agriculture,Natural environment,Cell-Free",No,Fully Contained,No-no-organisms,None,"The final product consists of recombinant proteins. So, the final product will not contain any bacteria or any other living organism or any such part that could spread autonomously.
However, there is possibility of contamination by bacteria during production of the filter.",Bacterial cellulose filter to combat organophosphate pollution
IISER-Pune-India,Asia,In a factory,No,Fully Contained,"Yes-possible,No-contained",Killswitch,"Autonomous spread of our organisms is currently possible. However, we do not intend for our consortium to be used as is in factories; we plan on adding kill switches in further work after demonstrating a proof-of-concept (after the Jamboree). The sucrose secreting cyanobacteria cannot spread their cscB gene through horizontal gene transfer (HGT) as it will be integrated into the genome. The csc operon in E. coli can be transferred via HGT.",System for environamental friendly petrochemical synthesis
IISER-Tirupati_India,Asia,"Consumer product,Human body or food",Yes,NEI,No-contained,Killswitch,"We address the issue of biosafety of our genetically engineered bacteria by introducing a light inducible kill switch, in case of accidental release of bacteria in the environment.
We choose this system since our genetically engineered bacteria is designed to work inside the human body (fallopian tube), and any mode of environmental release in presence of light will kill our bacteria. The system will be designed with appropriate sensitivity to light and use of strong toxin-antitoxin system.","Heterologous protease production, Ovastacin "
IISER_Berhampur,Asia,"Only lab,Small enclosed device,Other,Biosensor,Cell-Free",Yes,Fully Contained,No-no-organisms,None,We do not include any parts or engineered organisms in our final product that are capable of spreading autonomously in the environment.,Detection of multi drug resistant tuberculosis.
IISER_Bhopal,Asia,Human body or food,Yes,NEI,No-contained,Killswitch,"No, if our project is fully developed, the engineered organisms will not spread autonomously to the environment. We have incorporated a biocontainment strategy by lactate sensing Holin - Antiholin Kill switch in our project so that the bacteria can survive only in high lactate conditions(near the tumour microenvironment). Bacteria will die in the low lactate conditions (in which Kill switch will be active ) typically found in the environment, thus preventing environmental spread. There is a possibility of Horizontal gene Transfer, and to prevent it, we will integrate the gene of interest into the genome of our bacteria in the later stage of our project.",Tumor cells treatment.
IISER_Kolkata,Asia,"Consumer product,Agriculture,Small enclosed device,Biosensor",No,NEI,Yes-possible,None,"The Lactococcus lactis LMG 7930 is engineered to kill the staphylococcus colonies in the udder of the cow suffering from bovine mastitis. This is done by engineering the release of Nisin PV. However if in any case it is released into the environment, it holds the capacity to replicate autonomously. However, the gene circuit is activated only when the AgrC receptor is activated by binding to the AIP molecules. Hence on a surface level, autonomous replication might not be causing any harm. However, we are not sure of the far reaches repercussions of such an action of releasing the GMO into the environment. ",Bovine mastitis detection 
IISER_Mohali,Asia,"Only lab,In a factory,Small enclosed device,Other,Cell-Free",No,Fully Contained,No-no-organisms,None,"We do not plan to include organisms inside our kit, but only recombinant proteins.
The organisms used to synthesize the proteins will not be taken outside the lab/factory, while adequate safety protocols will be followed inside the lab/factory during their handling. ",Susceptibility evaluation for Oral Squamous Cell Carcinoma 
IISER_TVM,Asia,Human body or food,Yes,NEI,NEI,Auxotrophy,"1. We are using the plasmid pET28a for expressing the modeled proteins and is cloned under an inducible promoter such that the gene of interest will be expressed in the cells only when an inducer molecule is present in the medium. Hence, unless the protein production is induced by the addition of an inducer molecule (allolactose or any of its mimics, eg: IPTG), the proteins will not be expressed by the cells.
2. The culture media after use is treated with bleach, autoclaved, and sent for disposal as per safety norms of the institute 
3. All the bacterial work is done only in the Biosafety Cabinet(Class II Type A2), whereby the risk of bacterial contamination of the surroundings is reduced maximally. All the equipment used inside the cabinet is cleaned with 70% ethanol after the experiment is completed. 
4. Combined with the stringent protocols and general lab safety protocols practiced in the laboratory as well as the inducible nature of the cloned genes, it is almost impossible that the bacteria will spread autonomously in the environment.
",Enhanced antifungal activity chitinase 
IvyMaker-China,Asia,In a factory,No,Fully Contained,NEI,None,Presumably no. Our engineered enzymes will be put into massive used only in large centralized treatment plant which effectively reduce the possibility of autonomous spreading in the environment. ,PET decomposition system
 Jiangnan_China,Asia,"Only lab,In a factory,Consumer product,Natural environment",Yes,Open release ,NEI,None,"We choose Saccharomyces cerevisiae as the chassis organism, which is widely used in biological fermentation production, so this will not be a big problem. In the laboratory, we will boil and sterilize the fermented bacteria liquid in order to prevent pollution.",Ultraviolet protective compound production 
Jianhua,Asia,Human body or food,No,Fully Contained,NEI,None,"The gene fragments carried by our engineered Saccharomyces cerevisiae are all synthesized and are only produced in the laboratory/factory to produce the target product, and Saccharomyces cerevisiae BY4741 are routinely used in laboratory. People know this organism very well and recognized as a low risk experimental tool. ",Human milk oligosacharides production
Jilin_China,Asia,"Consumer product,Agriculture,Small enclosed device,Natural environment",Yes,Partially Contained,No-contained,Killswitch,"For unique application environment of our engineered bacteria, we designed special kill switches to ensure bio-safety.The whole suicide system is connected by three parts in order: sucrose promoter part, inverter and toxin protein.

We introduced sucrose promoter part because our engineered bacteria use sucrose as carbon source, and sucrose, which is naturally present in their work environment, can be a convenient inducer for the suicidal system. 

Once engineered bacteria escape to an external environment without sucrose, the expression of toxin protein will cause the programmed cell death of engineered bacteria.  ",Control system for blood sucking female mosquitous 
KAIT_Japan,Asia,Consumer product,No,NEI,NEI,None,"Store in a closed environment to prevent spreading, as this is a possibility.",Dont really understand the objective of their project. But I think is something like an enzyme toolkit.
KCIS_NewTaipei,Asia,"Consumer product,Human body or food",Yes,NEI,Yes-possible,None,"Yes, it might enter the environment but since it is a probiotic it won't harm the environment. A lot of bacteria are already part of our daily environment so this most likely will not pose as a problem. ",Probitic that will help combat Vitamin D defficency.
KEYSTONE,Asia,"In a factory,Small enclosed device",No,Fully Contained,No-unable,None,"we will rigorously control the proper containments of bacterias. When applying the hardware in the market, we will make sure that the bacterias are completely sealed. Even if the bacterias are leaked due to accidents, E.coli isn't a dominant species in the environment, and thus there isn't a risk of our bacterias being spread autonomously. ",Engineered E. coli to achieve biodegradation of rubber.
Korea_HS,Asia,"Natural environment,Human body or food",Yes,NEI,NEI,None,No,Produce cancer-specific peptide for delivery of siRNA into tumor cells.
KUAS_Korea,Asia,Natural environment,Yes,Open release ,No-contained,Killswitch,"We are planning to design a kill switch that is activated when the cells detach from the amphibian's skin. We designed a mucus binding protein that could be displayed on the surface of the E.coli to reduce detachment of E.coli cells (https://benchling.com/s/seq-4uJO0ielArKnXnWhWxQU). Also, we designed a  quorum sensing-based Kill switch in which cells only survive when they exist above a certain density. When cells are initially applied on the frog's skin, as part of a probiotics approach, they will exist in high concentrations so the kill switch will be repressed. But, if few cells detach, it will no longer receive autoinducers in high concentrations so it will die, in theory.",Control of deadly fungus infecting amazonian frogs
Kyoto,Asia,"In a factory,Consumer product,Agriculture,Small enclosed device",Yes,NEI,NEI,None,"We are dealing with recombinant Escherichia coli, which is cultured in a closed system. In addition, all the experimenters in our team have taken the necessary university courses to conduct recombinant experiments, and are directly instructed by the team's chief scientist on how to handle genetically modified organisms. Moreover, since Escherichia coli strains we are using including DH5alpha have auxotrophic marker, there remains a low possibility of autonomous spread in the environment if the system should fail and engineered E.coli leaked out. Therefore, the risk of recombinant Escherichia coli being released into the external environment is extremely low.","Not quite sure what the team is trying to accomplish but, I think is related to controlling flower pathogens.
Allow flowers to stay alive for more time in stores for example."
LINKS_China,Asia,Consumer product,Yes,Partially Contained,NEI,None,"No. Our lab has several biocontainment strategies, such as autoclave sterilizers, to ensure that no organisms will escape the lab and be spread in the environment. We chose these strategies because they are widely used in labs all over the world, and have been proven to be useful and effective. Furthermore, as our product is a biological material, not the strains of organisms themselves, the product will be thoroughly sterilized before entering the environment and coming into contact with customers. 
",Production of bio-leather
LZU-CHINA,Asia,Human body or food,Yes,NEI,NEI,None,No,Lentiviral vector to degradate Protein ACE2. Preventive antiviral for SARS-CoV2
LZU-HS-CHINA,Asia,In a factory,No,Fully Contained,NEI,None,No,Novel SeNPs (Selenium Nanoparticles) synthetis system
Mingdao,Asia,Only lab,No,Fully Contained,NEI,None,"Our engineered phages might enter the environment accidentally. As mentioned, the product is only used in the lab, therefore, just as doing on E. coli and recombinant DNA, the regulation is monitored by the safety committee and the government.  ",Bacterial detection platform
MIT_MAHE,Asia,"Agriculture,Field Use",Yes,Open release ,No-contained,Killswitch,"If our project were to be fully developed, we would implement an auxotrophic proline kill-switch which would kill the bacterium if not grown within the plant itself. We would also limit horizontal gene transfer by using genetic biosafety methods like genome integration to limit the spread of AMR genes.",Provide drought and pest resistance to a plant without genetically modifying it
Nanjing-China,Asia,"Only lab,In a factory,Consumer product,Human body or food",Yes,NEI,NEI,None,"No, we can deal with it properly and prevent it from being released to the environment.",Production of polyphosphates to prevent/treat Inflammatory Bowel Disease
Nanjing_high_school,Asia,Only lab,No,Fully Contained,NEI,None,No,"Production of protein PPM1A, and anti-inflamatory protein."
Nanjing_NFLS,Asia,In a factory,No,Fully Contained,No-contained,Killswitch,"No, we have designed a kill switch in our system, so the possibility that organisms spread into the environment is low. By using gardiquimod which is added to our hardware, the downstream killer gene can be activated and kill the bacteria before it is escaped into the environment. By using this method, we can make sure the organisms cannot escape from our hardware when it is fully developed. ",Increase in electrical output in Microbial Fuel Cells.
NAU-CHINA,Asia,"In a factory,Agriculture,Natural environment",Yes,Open release ,NEI,None,"The process of producing nano selenium by engineered bacteria is operated in the laboratory or factory. After transforming selenate and selenite ions from waste water, the bacteria will be shattered. Then we can collect the nano selenium.",E. coli that can turn toxic Selenium forms into less toxic Selenium Nanoparticles (SeNPs)-
NCHU_Taichung,Asia,Agriculture,Yes,Open release ,NEI,None,"We sterilize our bacteria with an autoclave under 121 Celsius degrees. After sterilization, any container with bacteria will be disposed of by following regulations of biological wastes treatment from the safety center in our university, which is responsible for laboratory safety on the campus. And the other organisms used in our project, for example, Oryza sativa var. Japonica Taiken 9 and Arabidopsis thaliana Col-0 are disposed of under the rules from the center.",Circular agriculture system 
NCKU_Tainan,Asia,"In a factory,Consumer product,Small enclosed device,Human body or food",Yes,Open release ,NEI,None,"We will remove the resistance gene through FLP target on FRT sites, or 0.22um filtration. It would effectively prevent environmental spread.  In addition, we can also kill our engineered E. coli through sterilization, just like any other bacteria.",Anti inflammatory system to reduce Chronic stress-induced depression. 
NCTU_Formosa,Asia,Consumer product,Yes,Open release ,NEI,None,"As an iGEM team, we obey the iGEM safety rules. All of the organisms used for developing our product will stay in our lab. We will not spread any biomaterial to the environment.",Anti periodontal disease system.
NDNF_China,Asia,"Only lab,Consumer product,Agriculture,Natural environment,Human body or food",Yes,Open release ,No-contained,Killswitch,"No, our program is designed to implement biosafety. If the project were fully developed, our system could prevent any bacteria from spreading outside the laboratory.
Also in the iGEM competition, we will only conduct experimental testing in the experiment, so there won't be any of the engineered organisms or parts spread autonomously in the environment.",A beyond the lab system. In their project they wanted to test a mercury biosensor.
NEFU_China,Asia,"Only lab,In a factory,Small enclosed device,Cell-Free",No,Partially Contained,No-no-organisms,None,"When the project is put into use, we will only use engineering strains in production plants, which can effectively avoid the leakage of engineering bacteria. In our design, the device in use contains only some enzymes, DNA and harmless buffers, and after use, it will be disposed of in accordance with the regulations on the disposal of medical waste, so there is no potential risk.","Specific nucleic acid detection system, based on Cas9"
NEU_CHINA,Asia,"Only lab,Agriculture,Small enclosed device,Natural environment",No,NEI,NEI,None,We don't have any organisms or parts spread autonomously in the environment.,Detection of S protein for SARS and MERS
NEYCFLS_China,Asia,Consumer product,Yes,NEI,NEI,None,No,They want to use a strain of an organism as control for a virus detection system?
 NIT_Warangal,Asia,"In a factory,Natural environment",Yes,NEI,NEI,None,No,Develop an enzymatic method for efficient degradation of the gossypol without altering other nutrient factors in CSM.
NJMU-China,Asia,Human body or food,Yes,NEI,No-contained,Killswitch,"""No, we designed a suicide switch when the patient takes in arabinose, the engineering bacteria will express MazF protein and kill themselves. Because MAF has a clear effect to induce the bacteria to death, which does no harm to human health and prevent the bacteria to be released into the environment.""",Detection of maternal inflammatory profiles that could cause autism  
NJTech_China,Asia,In a factory,No,Fully Contained,No-unable,None,"None of our engineered organisms or parts can spread autonomously in the environment.After each relevant experiment, we will sterilize all experimental materials and transfer all experimental wastes to the safety center of the Nanjing Tech University for centralized safety treatment.",Phenylethanol production 
NJU-China,Asia,Human body or food,Yes,NEI,NEI,None,"The minicircle DNA vector is the minimal gene expression cassette devoid of bacteria replication site, which is definitely safe to use and free of worry of gene spread.",iRNA to treat asthma
NMU_China,Asia,Human body or food,Yes,NEI,NEI,None,"Our engineered organisms or parts will not spread autonomously in the environment if the project is fully developed.
Lentivirus operations that do not involve animal testing in a biosafety cabinet (BSL-2 level) are considered sufficient by the UK ACMG guidelines. So it is considered to be well contained in biosafety cabinets and the risk of leakage is negligible.",Reprogramation againts SARS-CoV2
